Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Month,DayOfWeek,Is_Weekend,Likes_Per_View,Shares_Per_View,Comments_Per_View,Engagement_Rate
2022-11-05,YouTube,#Fashion,Live Stream,Brazil,702950,17361,62405,10538,Low,11,5,1,0.024697346895227255,0.08877587310619532,0.014991108898214667,12.846432889963724
2022-07-17,Instagram,#Education,Tweet,Canada,1599554,364748,16705,8949,High,7,6,1,0.22803106365899495,0.010443536135697826,0.005594684518309479,24.406928431300226
2022-05-22,TikTok,#Tech,Post,Australia,4600976,443617,98343,18038,High,5,6,1,0.09641802087209322,0.021374377958068028,0.003920472525829302,12.171287135599055
2023-04-30,Twitter,#Viral,Shorts,USA,2495410,213884,16804,17614,Low,4,6,1,0.08571096533235019,0.006733963557090819,0.007058559515270036,9.950348840471104
2023-04-05,TikTok,#Dance,Video,Germany,1838563,289125,77191,27066,High,4,2,0,0.15725596566448907,0.041984419353593,0.014721279608041715,21.396166462612378
2022-05-25,YouTube,#Tech,Shorts,India,2920650,416403,56902,2675,Low,5,2,0,0.14257203019875714,0.01948264941023402,0.000915892010340164,16.297057161933132
2023-09-14,TikTok,#Viral,Video,Germany,1772623,361245,30503,13260,Low,9,3,0,0.2037912178731744,0.017207832686363653,0.007480440003317118,22.847949056285515
2023-10-01,Instagram,#Comedy,Shorts,Australia,2484315,101605,80028,36281,High,10,6,1,0.040898597802613595,0.032213306283623455,0.014604025656971841,8.771592974320889
2022-07-30,YouTube,#Comedy,Live Stream,India,4927173,22341,38730,42476,Medium,7,5,1,0.004534243063923268,0.007860491198502672,0.008620764888912972,2.101549915133891
2022-10-18,TikTok,#Challenge,Video,UK,3924183,283030,30676,43977,Low,10,1,0,0.07212456707549061,0.00781716856731707,0.011206663909404837,9.114839955221253
2022-09-10,Instagram,#Music,Post,USA,4646060,21362,31562,19778,Medium,9,5,1,0.004597874327925167,0.0067932829106813085,0.0042569402891912715,1.5648097527797746
2022-12-12,YouTube,#Fitness,Video,USA,3901900,20166,30661,25363,Low,12,0,0,0.005168251364719752,0.007857966631640996,0.006500166585509623,1.9526384581870373
2022-10-20,Instagram,#Fashion,Video,Japan,962137,319381,69098,38387,Low,10,3,0,0.33194960800800716,0.07181721521986993,0.039897644514242776,44.36644677421199
2023-05-20,TikTok,#Education,Video,Germany,3859007,277223,81798,46985,Medium,5,5,1,0.0718379106334868,0.021196644629045764,0.012175411964787834,10.52099672273204
2023-02-15,Twitter,#Challenge,Shorts,UK,3837223,140163,85932,40674,Medium,2,2,0,0.03652719688170325,0.022394320059063548,0.010599853070827524,6.952137001159432
2022-11-11,Instagram,#Comedy,Post,UK,1029488,449148,87211,35005,High,11,4,0,0.4362828901356791,0.08471298354133316,0.03400233902677836,55.49982127037906
2022-04-18,Twitter,#Fashion,Post,Germany,879364,232290,7501,23547,Low,4,0,0,0.2641568224307568,0.008530028520612624,0.026777307235683973,29.946415818705336
2023-10-22,TikTok,#Comedy,Live Stream,USA,4828597,131837,43770,9395,Low,10,6,1,0.027303376115256666,0.009064744893806627,0.0019456997550220073,3.8313820764085302
2023-02-24,YouTube,#Education,Video,India,3487375,107303,83451,45313,High,2,4,0,0.030768988135775475,0.023929459837270153,0.012993440625112011,6.769188859815764
2023-01-14,TikTok,#Dance,Tweet,India,3418884,311286,82479,7832,High,1,5,1,0.09104900897485846,0.02412453888461849,0.0022908060057024457,11.74643538651794
2023-10-06,YouTube,#Challenge,Reel,Brazil,1337059,318166,72711,32791,High,10,4,0,0.2379595814395625,0.0543812950662611,0.02452472179612119,31.686559830194476
2023-07-25,TikTok,#Education,Live Stream,Canada,707841,133933,46058,45912,High,7,1,0,0.18921339679391275,0.0650682851092265,0.06486202409863231,31.91437060017716
2022-04-30,TikTok,#Fitness,Shorts,Australia,1851460,345987,13274,43872,Low,4,5,1,0.18687252222570297,0.007169477061346181,0.02369589405118123,21.77378933382304
2022-10-08,Instagram,#Fashion,Tweet,Canada,1438248,223413,84930,42774,Low,10,5,1,0.1553369099070536,0.05905101206467869,0.029740350760091443,24.412827273182373
2023-02-02,Instagram,#Fashion,Live Stream,Brazil,4027409,80497,44156,14597,Medium,2,3,0,0.019987292077859486,0.010963872802588464,0.003624414605022733,3.457557948547069
2023-04-16,Instagram,#Music,Video,India,3488909,443844,19877,22056,Low,4,6,1,0.1272156998075903,0.005697196458835699,0.006321746998846917,13.923464326527291
2022-12-23,TikTok,#Fitness,Video,USA,1089083,150418,45387,25632,Medium,12,4,0,0.13811435859342217,0.04167450965628882,0.023535396292109968,20.332426454182094
2023-09-20,TikTok,#Fashion,Live Stream,Germany,682046,480038,71997,18117,High,9,2,0,0.7038205634224085,0.10556032877547848,0.02656272450831762,83.59436167062046
2022-11-28,YouTube,#Tech,Live Stream,Brazil,4849297,86843,16843,14705,Low,11,0,0,0.017908368986267496,0.0034732869527273748,0.003032398304331535,2.4414054243326406
2022-02-24,Instagram,#Challenge,Tweet,USA,4283565,107901,84854,4738,Low,2,3,0,0.02518953255057411,0.01980920098095862,0.0011060880364836298,4.610482156801636
2023-10-04,Twitter,#Comedy,Shorts,India,50082,70708,277,25036,Low,10,2,0,1.4118445748971686,0.005530929275987381,0.4999001637314804,191.72756679046364
2023-02-05,Twitter,#Viral,Post,USA,3940355,82304,68754,15897,Low,2,6,1,0.020887458109738844,0.017448681654317948,0.004034408067293429,4.237054783135022
2022-04-08,Instagram,#Education,Reel,Canada,964498,194879,76029,34998,High,4,4,0,0.2020522593100245,0.07882753515300188,0.03628623387503136,31.716602833805773
2023-02-13,TikTok,#Tech,Shorts,UK,636824,363548,17456,8176,Low,2,0,0,0.570876725751542,0.027411027222592112,0.01283871210884012,61.11264650829743
2022-05-31,TikTok,#Comedy,Reel,India,4179125,94325,72341,7328,Low,5,1,0,0.022570514162653665,0.01731008285227171,0.0017534771034606526,4.163407411838603
2022-05-29,Instagram,#Gaming,Video,Brazil,1292958,95304,3716,44880,Low,5,6,1,0.07371005090652596,0.002874029937554043,0.03471110430501223,11.129518514909224
2023-04-24,Instagram,#Viral,Reel,UK,4103477,75909,5645,4052,Low,4,0,0,0.018498702441856016,0.0013756626392690881,0.0009874552726870408,2.0861820353812144
2022-03-01,Twitter,#Education,Reel,Germany,3529777,68367,38326,879,High,3,1,0,0.019368645667984123,0.01085790972064241,0.00024902423014258406,3.0475579618769117
2023-03-28,Instagram,#Fashion,Reel,USA,4593170,34210,33344,11022,Low,3,1,0,0.00744801520518509,0.007259474393501656,0.0023996499149824633,1.7107139513669207
2022-07-09,TikTok,#Challenge,Shorts,Brazil,3251679,498580,96093,9968,Medium,7,5,1,0.1533300181229451,0.029551810003385942,0.0030654932421066163,18.594732136843767
2023-04-22,Instagram,#Tech,Shorts,Canada,41081,319140,6541,23057,Low,4,5,1,7.76855480635817,0.15922202478031205,0.5612570287967673,848.9033859935249
2023-03-06,Twitter,#Dance,Shorts,Canada,2127698,193956,14856,32442,Medium,3,0,0,0.09115767369241312,0.006982193901578138,0.015247464630788767,11.338733222478002
2023-05-02,YouTube,#Education,Shorts,Australia,4765117,177035,49884,46238,Medium,5,1,0,0.03715228818096177,0.010468578211196074,0.009703434354287627,5.732430074644547
2022-09-13,Twitter,#Fitness,Reel,India,2114283,462542,14404,37153,Low,9,1,0,0.21877014571843031,0.006812711448751185,0.017572387424010884,24.31552445911924
2022-10-20,YouTube,#Fashion,Reel,Canada,4391275,392281,14429,27404,High,10,3,0,0.08933191385189951,0.0032858338409687392,0.006240556558175018,9.885830425104327
2022-12-02,TikTok,#Gaming,Post,India,1246500,471547,15048,40514,High,12,4,0,0.37829683112715606,0.012072202166064982,0.03250220617729643,42.28712394705175
2023-01-22,Twitter,#Music,Tweet,Germany,4555977,1087,23157,12611,Medium,1,6,1,0.00023858768382720107,0.00508277368388822,0.002768012217796534,0.8089373585511955
2022-07-26,Twitter,#Gaming,Tweet,India,400424,56569,59897,49341,Medium,7,1,0,0.14127275088406288,0.14958394102251613,0.12322188480210976,41.40785767086888
2022-02-08,Instagram,#Challenge,Video,Brazil,3201846,335416,50986,16715,High,2,1,0,0.10475706826624391,0.01592393887775989,0.00522042596677042,12.590143311077423
2023-01-26,TikTok,#Gaming,Video,Germany,102418,107650,94514,26548,Medium,1,3,0,1.0510847702552286,0.9228260657306333,0.25921224784705815,223.31230838329202
2023-06-24,Twitter,#Comedy,Tweet,Australia,4253909,448284,39383,32995,Low,6,5,1,0.1053816619020294,0.009258072986516637,0.007756395353074079,12.239613024162011
2022-06-12,TikTok,#Fitness,Live Stream,Australia,1551922,47511,7404,25497,Low,6,6,1,0.030614296337058176,0.004770858329220154,0.01642930508105433,5.181445974733266
2022-04-07,YouTube,#Challenge,Post,Germany,3587143,430347,96428,42640,Medium,4,3,0,0.11996929032380366,0.026881560060471522,0.011886897176945552,15.873774756122073
2022-07-13,Instagram,#Fashion,Video,USA,2252593,61466,13181,29007,High,7,2,0,0.02728677572912639,0.005851478718081784,0.012877159788741242,4.6015414235949414
